Country;Country 1941-1979;1941-1951;Guitar Polka;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.615.131
Country;Country 1941-1979;1941-1951;Humpty Dumpty Heart;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.320.603
Country;Country 1941-1979;1941-1951;I Love You A Thousand Ways;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.614.889
Country;Country 1941-1979;1941-1951;I Love You Because;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.605.787
Country;Country 1941-1979;1941-1951;I Love You So Much It Hurts;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.633.739
Country;Country 1941-1979;1941-1951;I Want To Be With You Always;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 5.119.817
Country;Country 1941-1979;1941-1951;I'll Sail My Ship Alone;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.919.245
Country;Country 1941-1979;1941-1951;I'm Losing My Mind Over You;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.706.631
Country;Country 1941-1979;1941-1951;I'm So Lonesome I Could Cry;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.678.198
Country;Country 1941-1979;1941-1951;It's A Sin;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.341.710
Country;Country 1941-1979;1941-1951;It's Been So Long;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 5.411.821
Country;Country 1941-1979;1941-1951;Let Old Mother Nature Have Her Way;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.697.811
Country;Country 1941-1979;1941-1951;Mind Your Own Business;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.807.693
Country;Country 1941-1979;1941-1951;No Letter Today;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.651.702
Country;Country 1941-1979;1941-1951;Oklahoma Hills;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.672.064
Country;Country 1941-1979;1941-1951;Poison Love;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.945.307
Country;Country 1941-1979;1941-1951;Rhumba Boogie;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.699.410
Country;Country 1941-1979;1941-1951;Room Full Of Roses;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.524.873
Country;Country 1941-1979;1941-1951;Sioux City Sue;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.771.821
Country;Country 1941-1979;1941-1951;Take Me Back To Tulsa;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.559.926
